GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kwetter,rest,KweetResource,68,0,0,0,16,0,10,0,10,0
Kwetter,rest,GebruikerResource,44,0,0,0,12,0,8,0,8,0
Kwetter,rest,JAXRSconfig,3,0,0,0,1,0,1,0,1,0
Kwetter,dao,GebruikerDAOImp,92,0,2,0,17,0,9,0,8,0
Kwetter,dao,KweetDAOImp,164,0,0,0,35,0,15,0,15,0
Kwetter,service,KweetService,90,43,0,0,30,15,3,8,3,8
Kwetter,service,GebruikerService,68,41,0,0,22,15,2,8,2,8
Kwetter,service,Init,68,0,0,0,17,0,2,0,2,0
Kwetter,domain,Gebruiker_,3,0,0,0,1,0,1,0,1,0
Kwetter,domain,Gebruiker.new Object() {...},3,23,0,0,0,1,0,1,0,1
Kwetter,domain,Gebruiker,78,298,7,20,9,88,11,35,4,27
Kwetter,domain,Kweet,67,282,8,30,13,73,13,31,5,20
Kwetter,domain,GebruikerRole,5,43,0,0,0,2,1,3,1,3
Kwetter,domain,Kweet_,3,0,0,0,1,0,1,0,1,0
Kwetter,boundary.controllers,GebruikerController,59,0,8,0,17,0,12,0,8,0
